,id,title,author,year,issn,url,doi,abstract,keyword,pages,num_pages,content_type,publication_venue,publisher
244,,Neural Knowledge Extraction From Cloud Service Incidents,M. Shetty; C. Bansal; S. Kumar; N. Rao; N. Nagappan; T. Zimmermann,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402085,10.1109/ICSE-SEIP52600.2021.00031,"The move from boxed products to services and the widespread adoption of cloud computing has had a huge impact on the software development life cycle and DevOps processes. Particularly, incident management has become critical for developing and operating large-scale services. Prior work on incident management has heavily focused on the challenges with incident triaging and de-duplication. In this work, we address the fundamental problem of structured knowledge extraction from service incidents. We have built SoftNER, a framework for unsupervised knowledge extraction from service incidents. We frame the knowledge extraction problem as a Named-Entity Recognition task for extracting factual information. SoftNER leverages structural patterns like key value pairs and tables for bootstrapping the training data. Further, we build a novel multitask learning based BiLSTM-CRF model which leverages not just the semantic context but also the data-types for named-entity extraction. We have deployed SoftNER at Microsoft, a major cloud service provider and have evaluated it on more than 2 months of cloud incidents. We show that the unsupervised machine learning pipeline has a high precision of 0.96. Our multi-task learning based deep learning model also outperforms the state of the art NER models. Lastly, using the knowledge extracted by SoftNER we are able to build significantly more accurate models for important downstream tasks like incident triaging.",Cloud Services;Service Incidents;Information Extraction;Knowledge Extraction;Deep Learning;Machine Learning,"218, 227",,IEEE Conferences,2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),IEEE
245,,"NLP for Requirements Engineering: Tasks, Techniques, Tools, and Technologies",A. Ferrari; L. Zhao; W. Alhoshan,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402628,10.1109/ICSE-Companion52605.2021.00137,"Requirements engineering (RE) is one of the most natural language-intensive fields within the software engineering area. Therefore, several works have been developed across the years to automate the analysis of natural language artifacts that are relevant for RE, including requirements documents, but also app reviews, privacy policies, and social media content related to software products. Furthermore, the recent diffusion of game-changing natural language processing (NLP) techniques and plat-forms has also boosted the interest of RE researchers. However, a reference framework to provide a holistic understanding of the field of NLP for RE is currently missing. Based on the results of a recent systematic mapping study, and stemming from a previous ICSE tutorial by one of the authors, this technical briefing gives an overview of NLP for RE tasks, available techniques, supporting tools and NLP technologies. It is oriented to both researchers and practitioners, and will gently guide the audience towards a clearer view of how NLP can empower RE, providing pointers to representative works and specialised tools.",NLP;Requirements Engineering;Software Engineering;Transfer Learning;Survey;Mapping Study;Empirical Studies;Tutorial,"322, 323",,IEEE Conferences,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),IEEE
246,,Roosterize: Suggesting Lemma Names for Coq Verification Projects Using Deep Learning,P. Nie; K. Palmskog; J. J. Li; M. Gligoric,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402311,10.1109/ICSE-Companion52605.2021.00026,"Naming conventions are an important concern in large verification projects using proof assistants, such as Coq. In particular, lemma names are used by proof engineers to effectively understand and modify Coq code. However, providing accurate and informative lemma names is a complex task, which is currently often carried out manually. Even when lemma naming is automated using rule-based tools, generated names may fail to adhere to important conventions not specified explicitly. We demonstrate a toolchain, dubbed Roosterize, which automatically suggests lemma names in Coq projects. Roosterize leverages a neural network model trained on existing Coq code, thus avoiding manual specification of naming conventions. To allow proof engineers to conveniently access suggestions from Roosterize during Coq project development, we integrated the toolchain into the popular Visual Studio Code editor. Our evaluation shows that Roosterize substantially outperforms strong baselines for suggesting lemma names and is useful in practice. The demo video for Roosterize can be viewed at: https://youtu.be/HZ5ac7Q14rc.",Coq;lemma names;neural networks,"21, 24",,IEEE Conferences,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),IEEE
247,,Testing Object Detection for Autonomous Driving Systems via 3D Reconstruction,J. Shao,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402601,10.1109/ICSE-Companion52605.2021.00052,"Object detection is to identify objects from images. In autonomous driving systems, object detection serves as an intermediate module, which is used as the input of autonomous decisions for vehicles. That is, the accuracy of autonomous decisions relies on the object detection. The state-of-the-art object detection modules are designed based on Deep Neural Networks (DNNs). It is difficult to employ white-box testing on DNNs since the output of a single neuron is inexplicable. Existing work conducted metamorphic testing for object detection via image synthesis: the detected object in the original image should be detected in the new synthetic image. However, a synthetic image may not look real from humans' perspective. Even the object detection module fails in detecting such synthetic image, the failure may not reflect the ability of object detection. In this paper, we propose an automatic approach to testing object detection via 3D reconstruction of vehicles in real photos. The 3D reconstruction is developed via vanishing point estimation in photos and heuristic based image insertion. Our approach adds new objects to blank spaces in photos to synthesize images. For example, a new vehicle can be added to a photo of a road and vehicles. In this approach, the output synthetic images are expected to be more natural-looking than randomly synthesizing images. The experiment is conducting on 500 driving photos from the Apollo autonomous driving dataset.","metamorphic testing, object detection system, vanishing point, image processing","117, 119",,IEEE Conferences,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),IEEE
248,,RPT: Effective and Efficient Retrieval of Program Translations from Big Code,B. Chen; Z. Abedjan,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402662,10.1109/ICSE-Companion52605.2021.00117,"Program translation is a growing demand in software engineering. Manual program translation requires programming expertise in source and target language. One way to automate this process is to make use of the big data of programs, i.e., Big Code. However, existing code retrieval techniques lack the design to cover cross-language code retrieval. Other data-driven approaches require human efforts in constructing cross-language parallel datasets to train translation models. In this paper, we present RPT, a novel code translation retrieval system. We propose a lightweight but informative program representation, which can be generalized to all imperative PLs. Furthermore, we present our index structure and hierarchical filtering mechanism for efficient code retrieval from a Big Code database.",,"252, 253",,IEEE Conferences,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),IEEE
249,,PyART: Python API Recommendation in Real-Time,X. He; L. Xu; X. Zhang; R. Hao; Y. Feng; B. Xu,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402592,10.1109/ICSE-Companion52605.2021.00114,"This is the research artifact of the paper titled 'PyART: Python API Recommendation in Real-Time'. PyART is a real-time API recommendation tool for Python, which includes two main functions: data-flow analysis and real-time API recommendation for both incomplete and complete Python code context. Compared to classical tools, PyART has two important particularities: it is able to work on real-time recommendation scenario, and it provides data-flow analysis and API recommendation for dynamic language. Classical tools often fail to make static analysis in real-time recommendation scenario, due to the incompletion of syntax. And the dynamic features of Python language also bring challenges to type inference and API recommendation. Different from classical tools, PyART derives optimistic data-flow that is neither sound nor complete but sufficient for API recommendation and cost-effective to collect, and provides real-time API recommendations based on novel candidate collection, context analysis and feature learning techniques. The artifact evaluation experiments of PyART include three main aspects: data-flow analysis, intra-project API recommendation and across-project API recommendation. We assume users of the artifact is able to use Linux Ubuntu Operating System.","API recommendation, context analysis, data flow analysis, real-time recommendation, Python","246, 247",,IEEE Conferences,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),IEEE
250,,ProMal: Precise Window Transition Graphs for Android via Synergy of Program Analysis and Machine Learning,C. Liu,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402354,10.1109/ICSE-Companion52605.2021.00061,"Mobile apps have been an integral part in our daily life. As these apps become more complex, it is critical to provide automated analysis techniques to ensure the correctness, security, and performance of these apps. A key component for these automated analysis techniques is to create a graphical user interface (GUI) model of an app, i.e., a window transition graph (WTG), that models windows and transitions among the windows. While existing work has provided both static and dynamic analysis to build the WTG for an app, the constructed WTG misses many transitions or contains many infeasible transitions due to the coverage issues of dynamic analysis and over-approximation of the static analysis. We propose ProMal, a ""tribrid"" analysis that synergistically combines static analysis, dynamic analysis, and machine learning to construct a precise WTG. Specifically, ProMal first applies static analysis to build a static WTG, and then applies dynamic analysis to verify the transitions in the static WTG. For the unverified transitions, ProMal further provides machine learning techniques that leverage runtime information (i.e., screenshots, UI layouts, and text information) to predict whether they are feasible transitions. Our evaluations on 40 real-world apps demonstrate the superiority of ProMal in building WTGs over static analysis, dynamic analysis, and machine learning techniques when they are applied separately.",Android;Window Transition Graph;GUI Testing;Static Analysis;Dynamic Analysis;Machine Learning,"144, 146",,IEEE Conferences,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),IEEE
251,,Scalable Quantitative Verification for Deep Neural Networks,T. Baluta; Z. L. Chua; K. S. Meel; P. Saxena,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402591,10.1109/ICSE-Companion52605.2021.00115,"Despite the functional success of deep neural networks (DNNs), their trustworthiness remains a crucial open challenge. To address this challenge, both testing and verification techniques have been proposed. But these existing techniques pro- vide either scalability to large networks or formal guarantees, not both. In this paper, we propose a scalable quantitative verification framework for deep neural networks, i.e., a test-driven approach that comes with formal guarantees that a desired probabilistic property is satisfied. Our technique performs enough tests until soundness of a formal probabilistic property can be proven. It can be used to certify properties of both deterministic and randomized DNNs. We implement our approach in a tool called PROVERO1 and apply it in the context of certifying adversarial robustness of DNNs. In this context, we first show a new attack- agnostic measure of robustness which offers an alternative to purely attack-based methodology of evaluating robustness being reported today. Second, PROVERO provides certificates of robustness for large DNNs, where existing state-of-the-art verification tools fail to produce conclusive results. Our work paves the way forward for verifying properties of distributions captured by real-world deep neural networks, with provable guarantees, even where testers only have black-box access to the neural network.",quantitative-verification;deep-neural-networks;robustness;probabilistic,"248, 249",,IEEE Conferences,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),IEEE
252,,GNNMark: A Benchmark Suite to Characterize Graph Neural Network Training on GPUs,T. Baruah; K. Shivdikar; S. Dong; Y. Sun; S. A. Mojumder; K. Jung; J. L. Abellán; Y. Ukidave; A. Joshi; J. Kim; D. Kaeli,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408205,10.1109/ISPASS51385.2021.00013,"Graph Neural Networks (GNNs) have emerged as a promising class of Machine Learning algorithms to train on non-euclidean data. GNNs are widely used in recommender systems, drug discovery, text understanding, and traffic forecasting. Due to the energy efficiency and high-performance capabilities of GPUs, GPUs are a natural choice for accelerating the training of GNNs. Thus, we want to better understand the architectural and system-level implications of training GNNs on GPUs. Presently, there is no benchmark suite available designed to study GNN training workloads. In this work, we address this need by presenting GNNMark, a feature-rich benchmark suite that covers the diversity present in GNN training workloads, datasets, and GNN frameworks. Our benchmark suite consists of GNN workloads that utilize a variety of different graph-based data structures, including homogeneous graphs, dynamic graphs, and heterogeneous graphs commonly used in a number of application domains that we mentioned above. We use this benchmark suite to explore and characterize GNN training behavior on GPUs. We study a variety of aspects of GNN execution, including both compute and memory behavior, highlighting major bottlenecks observed during GNN training. At the system level, we study various aspects, including the scalability of training GNNs across a multi-GPU system, as well as the sparsity of data, encountered during training. The insights derived from our work can be leveraged by both hardware and software developers to improve both the hardware and software performance of GNN training on GPUs.",graphs;benchmarks;GNN training;GPUs,"13, 23",,IEEE Conferences,2021 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),IEEE
253,,AIBench Training: Balanced Industry-Standard AI Training Benchmarking,F. Tang; W. Gao; J. Zhan; C. Lan; X. Wen; L. Wang; C. Luo; Z. Cao; X. Xiong; Z. Jiang; T. Hao; F. Fan; F. Zhang; Y. Huang; J. Chen; M. Du; R. Ren; C. Zheng; D. Zheng; H. Tang; K. Zhan; B. Wang; D. Kong; M. Yu; C. Tan; H. Li; X. Tian; Y. Li; J. Shao; Z. Wang; X. Wang; J. Dai; H. Ye,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408170,10.1109/ISPASS51385.2021.00014,"Earlier-stage evaluations of a new AI architecture/system need affordable AI benchmarks. Only using a few AI component benchmarks like MLPerf alone in the other stages may lead to misleading conclusions. Moreover, the learning dynamics are not well understood, and the benchmarks' shelf-life is short. This paper proposes a balanced benchmarking methodology. We use real-world benchmarks to cover the factors space that impacts the learning dynamics to the most considerable extent. After performing an exhaustive survey on Internet service AI domains, we identify and implement nineteen representative AI tasks with state-of-the-art models. For repeatable performance ranking (RPR subset) and workload characterization (WC subset), we keep two subsets to a minimum for affordability. We contribute by far the most comprehensive AI training benchmark suite. The evaluations show: (1) AIBench Training (v1.1) outperforms MLPerf Training (v0.7) in terms of diversity and representativeness of model complexity, computational cost, convergent rate, computation, and memory access patterns, and hotspot functions; (2) Against the AIBench full benchmarks, its RPR subset shortens the benchmarking cost by 64%, while maintaining the primary workload characteristics; (3) The performance ranking shows the single-purpose AI accelerator like TPU with the optimized TensorFlow framework performs better than that of GPUs while losing the latter's general support for various AI models. The specification, source code, and performance numbers are available from the AIBench homepage https://www.benchcouncil.org/aibench-training/index.html.",Benchmark;Deep Learning;Learning Dynamics;Training;Subsetting;Workload Characterization,"24, 35",,IEEE Conferences,2021 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),IEEE
254,,Reducing BERT Computation by Padding Removal and Curriculum Learning,W. Zhang; W. Wei; W. Wang; L. Jin; Z. Cao,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408202,10.1109/ISPASS51385.2021.00025,"BERT is very computationally expensive, which is a hurdle for its training and deployment. This work focuses on removing the unnecessary computation due to input padding in BERT. The input of BERT consists of two concatenated sentences. If the length of the two concatenated sentences is shorter than the maximum sequence length, padding must be added to the end of the sentences to fill the empty slots in the input. Because the lengths of sentences vary greatly, there can be a large amount of padding in input. For the English Wikipedia & BooksCorpus dataset, the percentage of padding among all the input tokens is 17% and 48%, respectively, when the max sequence length is set to 128 and 512. For the Chinese Wikipedia dataset, this percentage is 35% and 79%, respectively, when the max sequence length is 128 and 512. For SQuAD-v1.1 [2], padding accounts for 54% of the total input tokens when the max sequence length is 384. Thus, there is a lot of wasted computation on padding, which significantly increases the training and inference time.",,"90, 92",,IEEE Conferences,2021 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),IEEE
255,,Comparative Code Structure Analysis using Deep Learning for Performance Prediction,T. Ramadan; T. Z. Islam; C. Phelps; N. Pinnow; J. J. Thiagarajan,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408199,10.1109/ISPASS51385.2021.00032,"Performance analysis has always been an afterthought during the application development process, focusing on application correctness first. The learning curve of the existing static and dynamic analysis tools are steep, which requires understanding low-level details to interpret the findings for actionable optimizations. Additionally, application performance is a function of a number of unknowns stemming from the application-, runtime-, and interactions between the OS and underlying hardware, making it difficult to model using any deep learning technique, especially without a large labeled dataset. In this paper, we address both of these problems by presenting a large corpus of a labeled dataset for the community and take a comparative analysis approach to mitigate all unknowns except their source code differences between different correct implementations of the same problem. We put the power of deep learning to the test for automatically extracting information from the hierarchical structure of abstract syntax trees to represent source code. This paper aims to assess the feasibility of using purely static information (e.g., abstract syntax tree or AST) of applications to predict performance change based on the change in code structure. This research will enable performance-aware application development since every version of the application will continue to contribute to the corpora, which will enhance the performance of the model. We evaluate several deep learning-based representation learning techniques for source code. Our results show that tree-based Long Short-Term Memory (LSTM) models can leverage source code's hierarchical structure to discover latent representations. Specifically, LSTM-based predictive models built using a single problem and a combination of multiple problems can correctly predict if a source code will perform better or worse up to 84% and 73% of the time, respectively.",Comparative performance modeling;machine learning;Long Short-Term Memory Networks;Deep Graph Learning,"151, 161",,IEEE Conferences,2021 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),IEEE
256,,News Text Classification and Recommendation Technology Based on Wide & Deep-Bert Model,W. Jing; Y. Bailong,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9404101,10.1109/ICICSE52190.2021.9404101,"With the rapid development of Internet technology, news information on various social platforms is growing wildly, generating large amounts of data. Since short text information such as news headlines, short messages, and newsletters has a small number of words and limited content, it is often difficult to extract effective information. The sparse feature information causes difficulties in text classification. If the news system cannot efficiently and accurately realize news classification and users preference recommendation, it will inevitably affect the experience and frequency of platform users. This paper mainly studies the application of deep learning in the field of text classification and users' personal recommendation. It uses multiple English text data sets to learn text features. Based on the Wide&Deep model, combined with the improved BERT pretraining model, the Wide&Deep-BERT model is designed. In addition, the corresponding news text classification and recommendation technology process is proposed, and the Tensorflow deep learning framework is used to experimentally verify the technology, which proves the effectiveness and practicability of the design technology.",wide&deep model;best model;text classification,"209, 216",,IEEE Conferences,2021 IEEE International Conference on Information Communication and Software Engineering (ICICSE),IEEE
257,,A Bearing Fault Diagnosis Method Based on L1 Regularization Transfer Learning and LSTM Deep Learning,D. Zhu; X. Song; J. Yang; Y. Cong; L. Wang,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9404081,10.1109/ICICSE52190.2021.9404081,"In the practical application of rail transit, it is difficult to obtain bearing fault data and the training data of fault diagnosis model is insufficient, which leads to the low accuracy and generalization ability of fault diagnosis model. In this paper, a new bearing fault diagnosis method based on transfer learning is proposed. Based on transfer learning, we introduce L1 regularization, then adds it to the Long Short-Term Memory (LSTM) classification model, and uses a small amount of target domain data to fine tune the parameters of the model, and finally constructs a bearing fault diagnosis model. In this paper, the bearing data set of Case Western Reserve University is used to test the bearing fault diagnosis model. Compared with the conventional LSTM, Gated Recurrent Unit (GRU) and Bi-LSTM, the model proposed in this paper has higher accuracy in fault diagnosis as well as certain reliability and generalization ability.",fault diagnosis;L1 regularization;transfer learning;LSTM,"308, 312",,IEEE Conferences,2021 IEEE International Conference on Information Communication and Software Engineering (ICICSE),IEEE
258,,Natural Language Processing through BERT for Identifying Gender-Based Violence Messages on Social Media,I. Soldevilla; N. Flores,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9404127,10.1109/ICICSE52190.2021.9404127,"The purpose of this article is to provide a natural language processing model to classify messages on social media that contain gender violence. The applied methodology considers performing a fine tune process to BERT, so as the output model can be trained with labeled messages -as violence and nonviolence-on the Reddit and Twitter platforms. The performance obtained in terms of area under the curve, accuracy, sensitivity and specificity were 0.9603, 0.8909, 0.8826 and 0.8989 respectively.",BERT;fine-tuning;natural language processing;text classification,"204, 208",,IEEE Conferences,2021 IEEE International Conference on Information Communication and Software Engineering (ICICSE),IEEE
259,,The Visualization of Cross-media Knowledge Graph of Tang and Song Poetry,W. Jiang; C. Li; C. Wu,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9403486,10.1109/SNPDWinter52325.2021.00022,"The special grammar and abstruse rhetoric of Tang and Song poetry doomed the diversity of poetry research. In order to help scholars explore the information space of poetry, we took into account the breadth and depth of learning, combined with heterogeneous data sources such as poetry, videos, textbooks, knowledge graph and other media sources, and carried out visual modeling. We provide a visual and informative platform to demonstrate the potential power of visualization. It supports comprehensive search capabilities for multiple types of data, online generation of poets' knowledge graphs. Relationship diagram, word cloud diagram, pie chart and other visual charts are displayed on the platform, so that users can complete exploratory visual analysis by dragging, clicking and typing.",visualization;heterogeneous network;broad learning;knowledge graph,"69, 73",,IEEE Conferences,"2021 21st ACIS International Winter Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD-Winter)",IEEE
260,,Learning to Find Bugs and Code Quality Problems - What Worked and What not?,V. Raychev,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9392977,10.1109/ICCQ51190.2021.9392977,"The recent growth of open source repositories and deep learning models brought big promises for the next generation of programming tools that can automate or significantly improve the software development process. Yet, such tools are still rare and the machine learning components in them are not always apparent to their users. The current most useful techniques in machine learning for code are also not coming from the organizations such as Microsoft, Google, DeepMind, Facebook, OpenAI or nVidia that invested the most in deep neural techniques such as huge neural networks. This probably means that either many of these coding problems are significantly different from other hot topics in deep learning such as image processing or that it is much more difficult to collect datasets that would result in similarly successful tools. In this work, we study the results in the literature on the topic and discuss ways to address these shortcomings.",,"1, 5",,IEEE Conferences,2021 International Conference on Code Quality (ICCQ),IEEE
261,,Choosing a Chatbot Development Tool,S. Perez-Soler; S. Juarez-Puerta; E. Guerra; J. de Lara,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9364349,10.1109/MS.2020.3030198,"Chatbots are programs that supply services to users via conversation in natural language, acting as virtual assistants within social networks or web applications. Here, we review the most representative chatbot development tools with a focus on technical and managerial aspects.",Software Engineering;Chatbots;Natural Language Processing,"94, 103",,IEEE Magazines,IEEE Software,IEEE
262,,Within-Project Defect Prediction of Infrastructure-as-Code Using Product and Process Metrics,S. Dalla Palma; D. Di Nucci; F. Palomba; D. A. Tamburri,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9321740,10.1109/TSE.2021.3051492,"Infrastructure-as-code (IaC) is the DevOps practice enabling management and provisioning of infrastructure through the definition of machine-readable files, hereinafter referred to as IaC scripts. Similarly to other source code artefacts, these files may contain defects that can preclude their correct functioning. In this paper, we aim at assessing the role of product and process metrics when predicting defective IaC scripts. We propose a fully integrated machine-learning framework for IaC Defect Prediction, that allows for repository crawling, metrics collection, model building, and evaluation. To evaluate it, we analyzed 104 projects and employed five machine-learning classifiers to compare their performance in flagging suspicious defective IaC scripts. The key results of the study report Random Forest as the best-performing model, with a median AUC-PR of 0.93 and MCC of 0.80. Furthermore, at least for the collected projects, product metrics identify defective IaC scripts more accurately than process metrics. Our findings put a baseline for investigating IaC Defect Prediction and the relationship between the product and process metrics, and IaC scripts' quality.",Infrastructure-as-code;Defect Prediction;Empirical Software Engineering,"1, 1",,IEEE Early Access Articles,IEEE Transactions on Software Engineering,IEEE
263,,Whence to Learn? Transferring Knowledge in Configurable Systems Using BEETLE,R. Krishna; V. Nair; P. Jamshidi; T. Menzies,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9050841,10.1109/TSE.2020.2983927,"As software systems grow in complexity and the space of possible configurations increases exponentially, finding the near-optimal configuration of a software system becomes challenging. Recent approaches address this challenge by learning performance models based on a sample set of configurations. However, collecting enough sample configurations can be very expensive since each such sample requires configuring, compiling, and executing the entire system using a complex test suite. When learning on new data is too expensive, it is possible to use <italic>Transfer Learning</italic> to “transfer” old lessons to the new context. Traditional transfer learning has a number of challenges, specifically, (a) learning from excessive data takes excessive time, and (b) the performance of the models built via transfer can deteriorate as a result of learning from a poor source. To resolve these problems, we propose a novel transfer learning framework called BEETLE, which is a “bellwether”-based transfer learner that focuses on identifying and learning from the most relevant source from amongst the old data. This paper evaluates BEETLE with 57 different software configuration problems based on five software systems (a video encoder, an SAT solver, a SQL database, a high-performance C-compiler, and a streaming data analytics tool). In each of these cases, BEETLE found configurations that are as good as or better than those found by other state-of-the-art transfer learners while requiring only a fraction (<inline-formula><tex-math notation=""LaTeX"">$\frac{1}{7}$</tex-math><alternatives><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mfrac><mml:mn>1</mml:mn><mml:mn>7</mml:mn></mml:mfrac></mml:math><inline-graphic xlink:href=""krishna-ieq1-2983927.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula>th) of the measurements needed by those other methods. Based on these results, we say that BEETLE is a new high-water mark in optimally configuring software.",Performance optimization;SBSE;transfer learning;bellwether,"2956, 2972",,IEEE Journals,IEEE Transactions on Software Engineering,IEEE
264,,An Exploratory Study of Machine Learning Model Stores,M. Xiu; Z. M. J. Jiang; B. Adams,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9003231,10.1109/MS.2020.2975159,Several organizations have introduced stores that provide public access to pretrained machine learning models and infrastructure. We examine three of them and compare the information they provide against two mobileapp stores and among themselves.,,"114, 122",,IEEE Magazines,IEEE Software,IEEE
265,,Checking Smart Contracts With Structural Code Embedding,Z. Gao; L. Jiang; X. Xia; D. Lo; J. Grundy,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8979435,10.1109/TSE.2020.2971482,"Smart contracts have been increasingly used together with blockchains to automate financial and business transactions. However, many bugs and vulnerabilities have been identified in many contracts which raises serious concerns about smart contract security, not to mention that the blockchain systems on which the smart contracts are built can be buggy. Thus, there is a significant need to better maintain smart contract code and ensure its high reliability. In this paper, we propose an automated approach to learn characteristics of smart contracts in Solidity, which is useful for clone detection, bug detection and contract validation on smart contracts. Our new approach is based on word embeddings and vector space comparison. We parse smart contract code into word streams with code structural information, convert code elements (e.g., statements, functions) into numerical vectors that are supposed to encode the code syntax and semantics, and compare the similarities among the vectors encoding code and known bugs, to identify potential issues. We have implemented the approach in a prototype, named S<sc>mart</sc>E<sc>mbed</sc>,<xref ref-type=""fn"" rid=""fn1""><sup>1</sup></xref><fn id=""fn1""><label>1.</label><p>The anonymous replication packages can be accessed at: <uri>https://drive.google.com/file/d/1kauLT3y2IiHPkUlVx4FSTda-dVAyL4za/view?usp=sharing</uri>.</p> </fn> and evaluated it with more than 22,000 smart contracts collected from the Ethereum blockchain. Results show that our tool can effectively identify many repetitive instances of Solidity code, where the clone ratio is around 90 percent. Code clones such as type-III or even type-IV semantic clones can also be detected accurately. Our tool can identify more than 1000 clone related bugs based on our bug databases efficiently and accurately. Our tool can also help to efficiently validate any given smart contract against a known set of bugs, which can help to improve the users’ confidence in the reliability of the contract.",Smart contract;code embedding;clone detection;bug detection;ethereum;blockchain,"2874, 2891",,IEEE Journals,IEEE Transactions on Software Engineering,IEEE
266,,An Empirical Study on Heterogeneous Defect Prediction Approaches,H. Chen; X. -Y. Jing; Z. Li; D. Wu; Y. Peng; Z. Huang,2021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964460,10.1109/TSE.2020.2968520,"Software defect prediction has always been a hot research topic in the field of software engineering owing to its capability of allocating limited resources reasonably. Compared with cross-project defect prediction (CPDP), heterogeneous defect prediction (HDP) further relaxes the limitation of defect data used for prediction, permitting different metric sets to be contained in the source and target projects. However, there is still a lack of a holistic understanding of existing HDP studies due to different evaluation strategies and experimental settings. In this paper, we provide an empirical study on HDP approaches. We review the research status systematically and compare the HDP approaches proposed from 2014 to June 2018. Furthermore, we also investigate the feasibility of HDP approaches in CPDP. Through extensive experiments on 30 projects from five datasets, we have the following findings: (1) metric transformation-based HDP approaches usually result in better prediction effects, while metric selection-based approaches have better interpretability. Overall, the HDP approach proposed by Li <italic>et al.</italic> (CTKCCA) currently has the best performance. (2) Handling class imbalance problems can boost the prediction effects, but the improvements are usually limited. In addition, utilizing mixed project data cannot improve the performance of HDP approaches consistently since the label information in the target project is not used effectively. (3) HDP approaches are feasible for cross-project defect prediction in which the source and target projects have the same metric set.",Heterogeneous defect prediction;cross-project;empirical study;metric selection;metric transformation,"2803, 2822",,IEEE Journals,IEEE Transactions on Software Engineering,IEEE
